,贸易金融,供应链金融
中国银行,https://www.boc.cn/cbservice/cb3/,https://www.boc.cn/cbservice/cb3/cb32/
中国建设银行,https://www.asia.ccb.com/hongkong_sc/enterprise/trade_finance.html,http://www.ccb.com/cn/ccbtoday/20130702_1372751870.html
中国农业银行,http://www.abchina.com/cn/businesses/gjyw/inttradefinace/,
交通银行,http://www.bankcomm.com/BankCommSite/default.shtml,https://m.bankcomm.com/wap/shtml/wap/cn/15165/15172/15342/15364/list.shtml?channelId=15165
中国工商银行,http://www.icbc.com.cn/icbc/%E5%B7%A5%E8%A1%8C%E9%A3%8E%E8%B2%8C/%E5%B7%A5%E8%A1%8C%E5%BF%AB%E8%AE%AF/%E5%B7%A5%E5%95%86%E9%93%B6%E8%A1%8C%E6%88%90%E5%8A%9F%E4%B8%BE%E5%8A%9E%E8%BF%9B%E5%8D%9A%E4%BC%9A%E4%B8%80%E5%B8%A6%E4%B8%80%E8%B7%AF%E8%B4%B8%E6%98%93%E9%87%91%E8%9E%8D%E5%90%88%E4%BD%9C%E4%B8%8E%E5%88%9B%E6%96%B0%E8%AE%BA%E5%9D%9B.htm,http://www.icbc.com.cn/icbc/%E5%85%AC%E5%8F%B8%E4%B8%9A%E5%8A%A1/%E7%BB%93%E7%AE%97%E6%9C%8D%E5%8A%A1/%E7%8E%B0%E9%87%91%E7%AE%A1%E7%90%86/%E7%8E%B0%E9%87%91%E7%AE%A1%E7%90%86%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88/%E4%BE%9B%E5%BA%94%E9%93%BE%E9%87%91%E8%9E%8D%E8%A7%A3%E5%86%B3%E6%96%B9%E6%A1%88/
招商银行,http://www.cmbchina.com/corporate/common.aspx?parentid=offshore&pageid=jcmyrz,http://branch.cmbchina.com/0028/specialbusiness/20200800.htm
中信银行,http://www.citicbank.com/enterprise/groupcompany/aboard/,http://www.citicbank.com/enterprise/companybank/supplychain/
中国光大银行,,
华夏银行,https://www.hxb.com.cn/jrhx/khfw/zxgg/2020/12/01/68732.shtml,https://www.hxb.com.cn/gsjr/rzyw/yxcdhptx/index.shtml
浦发银行,https://cor.spdb.com.cn/trade_finance_and_cash_management/,https://news.spdb.com.cn/about_spd/media/201911/t20191129_396029.shtml
兴业银行,https://www.cib.com.cn/cn/minipage/trade/index.html,https://www.cib.com.cn/cn/aboutCIB/about/news/2019/20191120_1.html
民生银行,http://www.cmbc.com.cn/gsjr/gjyw/zl/jyyxjj/index.htm,http://www.cmbc.com.cn/gsjr/gyljr/gylwlrzcp/kjbk/msyxgyljrkjln/index.htm
平安银行,http://bank.pingan.com/gongsi/rongzi/,http://bank.pingan.com/gongsi/gongyinglian/
广发银行,http://www.cgbchina.com.cn/Info/13326492,http://www.cgbchina.com.cn/Info/22038223
恒丰银行,,
渤海银行,http://www.cbhb.com.cn/bhbank/S101/jiaruwomen/zhaopinxinxi/wuhanfenhang/myjrb/index.htm,https://ebank.cbhb.com.cn/webappservice/pub/prescflogincert.html
浙商银行,http://www.czbank.com/cn/index.shtml,http://www.czbank.com/cn/pub_info/Outside_reports/201809/t20180918_15404.shtml
